Date Time,Latitude,Longitude,Elevation,Temperature Height (m),Wind Height (m),Total Solar Radiation(MJ),Max Temp(deg C),Min Temp(deg C),Total Rainfall(mm),Average Dewpoint(deg C),Total Wind Run(km/day)
5/6/2000,29.80266,-82.41081,48.768,2,10,24.97,29.5,12.16,,13.78,324.7
5/7/2000,29.80266,-82.41081,48.768,2,10,28.25,30.57,12.86,,12.95,307.3
5/8/2000,29.80266,-82.41081,48.768,2,10,27.36,30.93,10.72,,12.49,244.9
5/9/2000,29.80266,-82.41081,48.768,2,10,19,30.96,13.98,,16.23,319.4
5/10/2000,29.80266,-82.41081,48.768,2,10,20.97,31.47,17.37,,17.9,375.6
5/11/2000,29.80266,-82.41081,48.768,2,10,25.07,33.92,19.83,,18.11,351.8
5/12/2000,29.80266,-82.41081,48.768,2,10,23.29,34.18,17.83,,17.77,322.3
5/13/2000,29.80266,-82.41081,48.768,2,10,23.81,33.87,16.53,,17.58,385.2
5/14/2000,29.80266,-82.41081,48.768,2,10,21.54,34.26,19.46,3.81,19.57,276.6
5/15/2000,29.80266,-82.41081,48.768,2,10,27.18,31.96,15.05,,16.19,320.6
5/16/2000,29.80266,-82.41081,48.768,2,10,22.8,29.81,16,,15.66,397.6
5/17/2000,29.80266,-82.41081,48.768,2,10,27.29,31.58,12.44,,13.44,335.7
5/18/2000,29.80266,-82.41081,48.768,2,10,25.65,32.46,14.11,,14.74,355
5/19/2000,29.80266,-82.41081,48.768,2,10,27.25,33.85,13.25,,14.22,246.7
5/20/2000,29.80266,-82.41081,48.768,2,10,27.92,34.31,17.87,,14.66,339.4
5/21/2000,29.80266,-82.41081,48.768,2,10,24.53,32.29,15.61,,16.15,355.7
5/22/2000,29.80266,-82.41081,48.768,2,10,13.04,29.26,17.02,11.18,18.75,324.4
5/23/2000,29.80266,-82.41081,48.768,2,10,23.23,32.59,19.73,,19.56,498.8
5/24/2000,29.80266,-82.41081,48.768,2,10,25.11,33.08,21,,20.17,575.9
5/25/2000,29.80266,-82.41081,48.768,2,10,20.59,34.23,22.47,,21.49,561.8
5/26/2000,29.80266,-82.41081,48.768,2,10,18.9,34,21.12,,20.99,384.8
5/27/2000,29.80266,-82.41081,48.768,2,10,23.89,35.24,18.1,,18.36,384.1
5/28/2000,29.80266,-82.41081,48.768,2,10,24.1,34.48,20.78,,20.4,614.2
5/29/2000,29.80266,-82.41081,48.768,2,10,27.3,34.34,24.06,,17.49,490.9
5/30/2000,29.80266,-82.41081,48.768,2,10,23.24,29.04,17.03,,15.59,535.2
5/31/2000,29.80266,-82.41081,48.768,2,10,19.03,28.39,11.56,,15.22,384.7
6/1/2000,29.80266,-82.41081,48.768,2,10,26.17,33.45,11.89,,16.32,288.5
6/2/2000,29.80266,-82.41081,48.768,2,10,25.01,34.38,16.44,,16.47,250.1
6/3/2000,29.80266,-82.41081,48.768,2,10,23.63,37.06,19.56,29.21,17.09,294.4
6/4/2000,29.80266,-82.41081,48.768,2,10,22.85,34.96,19.52,,19.62,341
6/5/2000,29.80266,-82.41081,48.768,2,10,24.94,33.02,18.76,,19.3,469.3
6/6/2000,29.80266,-82.41081,48.768,2,10,18.1,30.79,21.05,,20.38,436.5
6/7/2000,29.80266,-82.41081,48.768,2,10,25.85,30.63,18.23,,16.53,451.8
6/8/2000,29.80266,-82.41081,48.768,2,10,24.85,31.26,14.72,,15.91,380.1
6/9/2000,29.80266,-82.41081,48.768,2,10,27.71,30.84,14,,14.05,457.7
6/10/2000,29.80266,-82.41081,48.768,2,10,23.3,30.05,12.67,,15.11,399.7
6/11/2000,29.80266,-82.41081,48.768,2,10,13.1,30.49,14.25,1.52,18.56,228.5
6/12/2000,29.80266,-82.41081,48.768,2,10,16.36,31.91,19.59,1.78,20.98,292.3
6/13/2000,29.80266,-82.41081,48.768,2,10,22.87,34.07,18.58,0.25,20.73,251.4
6/14/2000,29.80266,-82.41081,48.768,2,10,19.29,32.89,19.09,0.25,20.9,259.3
6/15/2000,29.80266,-82.41081,48.768,2,10,20.02,32.24,18.82,0.25,20.74,260.2
6/16/2000,29.80266,-82.41081,48.768,2,10,23.51,33.9,19.39,0.25,20.02,248.2
6/17/2000,29.80266,-82.41081,48.768,2,10,20.71,33.69,21.51,0.25,21.3,287.8
6/18/2000,29.80266,-82.41081,48.768,2,10,24.77,34.1,21.02,0.25,21.27,255.8
6/19/2000,29.80266,-82.41081,48.768,2,10,26.3,34.62,18.74,,20.61,209.2
6/20/2000,29.80266,-82.41081,48.768,2,10,21.14,33.08,19.98,19.05,21.45,225.1
6/21/2000,29.80266,-82.41081,48.768,2,10,16.81,32.16,20.53,23.37,22.01,167.7
6/22/2000,29.80266,-82.41081,48.768,2,10,8.64,29.7,20.8,17.27,22.21,145.6
6/23/2000,29.80266,-82.41081,48.768,2,10,8.88,30.22,20.88,14.99,21.79,207.2
6/24/2000,29.80266,-82.41081,48.768,2,10,22.18,31.61,19.51,0.25,21.06,223.7
6/25/2000,29.80266,-82.41081,48.768,2,10,24.1,32.24,18.24,,20.45,268
6/26/2000,29.80266,-82.41081,48.768,2,10,16.03,30.9,19.33,0.51,20.39,340.6
6/27/2000,29.80266,-82.41081,48.768,2,10,12.89,30.91,20.31,3.81,21.42,235.5
6/28/2000,29.80266,-82.41081,48.768,2,10,19.46,31.07,18.08,18.29,21.31,261.8
6/29/2000,29.80266,-82.41081,48.768,2,10,14.26,29.27,21.65,8.89,22.49,361.2
6/30/2000,29.80266,-82.41081,48.768,2,10,11.75,27.1,23.03,13.72,23.21,427.4
7/1/2000,29.80266,-82.41081,48.768,2,10,25.73,31.25,18.2,0.25,19.63,265.5
7/2/2000,29.80266,-82.41081,48.768,2,10,27.17,31.29,16.36,,17.56,343.1
7/3/2000,29.80266,-82.41081,48.768,2,10,27.26,30.87,16.29,,17.43,417.1
7/4/2000,29.80266,-82.41081,48.768,2,10,25.5,31.97,16.27,,19.48,293.5
7/5/2000,29.80266,-82.41081,48.768,2,10,25.65,34.45,17.55,,19.35,156.9
7/6/2000,29.80266,-82.41081,48.768,2,10,21.18,35.1,21.26,,20.96,322.9
7/7/2000,29.80266,-82.41081,48.768,2,10,20.62,36.53,21.04,6.86,22.42,341.5
7/8/2000,29.80266,-82.41081,48.768,2,10,17.97,32.32,19.87,,22.11,358.7
7/9/2000,29.80266,-82.41081,48.768,2,10,22.48,31.82,20.37,,21.05,395.1
7/10/2000,29.80266,-82.41081,48.768,2,10,26.76,33.86,16.77,,17.51,224.6
7/11/2000,29.80266,-82.41081,48.768,2,10,23.88,34.48,18.85,,20.53,299.4
7/12/2000,29.80266,-82.41081,48.768,2,10,10.24,31.05,20.51,5.84,22.21,246.8
7/13/2000,29.80266,-82.41081,48.768,2,10,11.84,29.8,20.7,,22.64,307.8
7/14/2000,29.80266,-82.41081,48.768,2,10,11.16,29.54,22.98,,23.27,367.3
7/15/2000,29.80266,-82.41081,48.768,2,10,22.91,34.94,24.88,0.76,24.77,465.4
7/16/2000,29.80266,-82.41081,48.768,2,10,10.95,31.22,19.15,46.74,22.51,542.9
7/17/2000,29.80266,-82.41081,48.768,2,10,18.94,32.65,23.88,0.25,24.44,581.4
7/18/2000,29.80266,-82.41081,48.768,2,10,25.22,34.29,23.22,,23.59,273.2
7/19/2000,29.80266,-82.41081,48.768,2,10,25.6,35.88,22.46,,22.47,204
7/20/2000,29.80266,-82.41081,48.768,2,10,18,35.6,21.91,5.08,23.69,426.4
7/21/2000,29.80266,-82.41081,48.768,2,10,19.06,31.77,21.97,0.51,21.9,332.2
7/22/2000,29.80266,-82.41081,48.768,2,10,9.45,30.62,21.57,13.21,23.35,296.6
7/23/2000,29.80266,-82.41081,48.768,2,10,15.31,28.61,22.84,1.52,22.57,361.6
7/24/2000,29.80266,-82.41081,48.768,2,10,11.66,27.75,21.85,0.51,22.04,285.8
7/25/2000,29.80266,-82.41081,48.768,2,10,20.51,31.98,21.09,8.38,21.23,272
7/26/2000,29.80266,-82.41081,48.768,2,10,19.73,31.15,19.62,0.25,21.59,214.8
7/27/2000,29.80266,-82.41081,48.768,2,10,17.97,33.58,18.74,4.44,21.17,179.3
7/28/2000,29.80266,-82.41081,48.768,2,10,19.79,32.22,20.15,0.69,21.99,229.2
7/29/2000,29.80266,-82.41081,48.768,2,10,22.64,33.37,19.84,46.56,21.37,218.9
7/30/2000,29.80266,-82.41081,48.768,2,10,18.43,31.64,19.21,0.23,21.41,230.4
7/31/2000,29.80266,-82.41081,48.768,2,10,20.58,31.47,20.63,3.81,22.12,277.6
8/1/2000,29.80266,-82.41081,48.768,2,10,15.1,31.93,21.73,19.05,22.19,285.6
8/2/2000,29.80266,-82.41081,48.768,2,10,18.54,31.83,20.05,,22.24,193.9
8/3/2000,29.80266,-82.41081,48.768,2,10,10.18,29.5,22,3.05,22.87,189.1
8/4/2000,29.80266,-82.41081,48.768,2,10,16.41,29.8,20.44,0.46,22.32,219
8/5/2000,29.80266,-82.41081,48.768,2,10,22.21,33.27,21.09,,22.61,250.4
8/6/2000,29.80266,-82.41081,48.768,2,10,20.86,32.8,20.79,0.23,22.13,230.9
8/7/2000,29.80266,-82.41081,48.768,2,10,23.69,33.62,19.38,,21.33,228.1
8/8/2000,29.80266,-82.41081,48.768,2,10,22.89,33.57,20.69,,21.91,191
8/9/2000,29.80266,-82.41081,48.768,2,10,20.14,34.52,21.35,9.53,21.85,241.8
8/10/2000,29.80266,-82.41081,48.768,2,10,23.96,33.32,19.91,,21.95,208.7
8/11/2000,29.80266,-82.41081,48.768,2,10,22.75,32.08,22.2,,22.25,358.8
8/12/2000,29.80266,-82.41081,48.768,2,10,12.75,29.62,21.18,10.34,22.16,328.8
8/13/2000,29.80266,-82.41081,48.768,2,10,22.2,32.29,20.59,,19.83,267.6
8/14/2000,29.80266,-82.41081,48.768,2,10,23.03,32.85,20.26,,20.28,255.5
8/15/2000,29.80266,-82.41081,48.768,2,10,22.82,34.13,18.59,,19.31,402.9
8/16/2000,29.80266,-82.41081,48.768,2,10,23.9,32.85,17.99,,19.25,258.9
8/17/2000,29.80266,-82.41081,48.768,2,10,22.14,33.14,19.2,,20.31,181.3
8/18/2000,29.80266,-82.41081,48.768,2,10,21.29,33.84,19.53,,21.34,256.5
8/19/2000,29.80266,-82.41081,48.768,2,10,14.81,33.21,21.9,2.34,22.36,318.5
8/20/2000,29.80266,-82.41081,48.768,2,10,17.51,32.09,20.39,,22.22,177.4
8/21/2000,29.80266,-82.41081,48.768,2,10,18.13,32,21.43,,22.05,347.3
8/22/2000,29.80266,-82.41081,48.768,2,10,13.96,29.91,20.45,9.5,21.75,332
8/23/2000,29.80266,-82.41081,48.768,2,10,22.35,32.03,19.38,,20.43,318.5
8/24/2000,29.80266,-82.41081,48.768,2,10,22.98,33.15,19.7,,20.69,205.4
8/25/2000,29.80266,-82.41081,48.768,2,10,18.65,33.12,19.77,1.17,20.84,274.8
8/26/2000,29.80266,-82.41081,48.768,2,10,21.98,33.42,17.53,,20.41,167.2
8/27/2000,29.80266,-82.41081,48.768,2,10,23.01,33.15,19.37,,20.47,253.4
8/28/2000,29.80266,-82.41081,48.768,2,10,20.38,32.79,19.6,,21.24,218.9
8/29/2000,29.80266,-82.41081,48.768,2,10,18.78,31.98,20.94,12.24,21.67,290.3
8/30/2000,29.80266,-82.41081,48.768,2,10,16.75,30.26,19.91,0.91,21.37,298.9
8/31/2000,29.80266,-82.41081,48.768,2,10,16.7,31.75,19.42,,21.47,200.9
9/1/2000,29.80266,-82.41081,48.768,2,10,11.99,30.48,21.89,1.14,22.72,347.1
9/2/2000,29.80266,-82.41081,48.768,2,10,9.01,28.95,22.05,50.9,22.52,287.5
9/3/2000,29.80266,-82.41081,48.768,2,10,11.05,29.63,22.29,3.78,22.77,289
9/4/2000,29.80266,-82.41081,48.768,2,10,16.61,30.41,21.49,0.46,22.62,316.2
9/5/2000,29.80266,-82.41081,48.768,2,10,6.93,26.81,20.46,2.54,21.8,234
9/6/2000,29.80266,-82.41081,48.768,2,10,8.84,29.73,21.04,58.34,22.36,439.3
9/7/2000,29.80266,-82.41081,48.768,2,10,11.66,28.32,20.82,,22.45,316
9/8/2000,29.80266,-82.41081,48.768,2,10,12.24,29.94,22.65,4.14,23.23,379.6
9/9/2000,29.80266,-82.41081,48.768,2,10,8.42,25.65,23,2.77,22.97,425.9
9/10/2000,29.80266,-82.41081,48.768,2,10,11.48,28.9,21.3,,22.21,314.3
9/11/2000,29.80266,-82.41081,48.768,2,10,11.24,29.39,19.91,,20.84,227.1
9/12/2000,29.80266,-82.41081,48.768,2,10,12.55,31.32,17.25,,20.03,124.2
9/13/2000,29.80266,-82.41081,48.768,2,10,18.95,31.9,19.14,,21.35,149.9
9/14/2000,29.80266,-82.41081,48.768,2,10,18.98,32.24,19.49,,21.11,223.3
9/15/2000,29.80266,-82.41081,48.768,2,10,19.19,31.86,19.88,0.69,21.04,277.9
9/16/2000,29.80266,-82.41081,48.768,2,10,9.26,28.08,20.24,3.05,20.51,231.1
9/17/2000,29.80266,-82.41081,48.768,2,10,2.07,22.55,19.34,37.97,19.94,639.7
9/18/2000,29.80266,-82.41081,48.768,2,10,10.89,25.11,17.7,0.46,18.75,604.4
9/19/2000,29.80266,-82.41081,48.768,2,10,10.45,26.72,15.81,,19.41,223
9/20/2000,29.80266,-82.41081,48.768,2,10,16.02,31.83,20.4,3.68,22.36,334.2
9/21/2000,29.80266,-82.41081,48.768,2,10,11.98,30.15,21.73,,23.23,212.1
9/22/2000,29.80266,-82.41081,48.768,2,10,1.08,27.88,23.78,0.23,23.82,231.9
9/23/2000,29.80266,-82.41081,48.768,2,10,15.95,31.68,21.64,0.69,23.31,198.1
9/24/2000,29.80266,-82.41081,48.768,2,10,16.51,31.59,21.12,0.23,22.73,174.8
9/25/2000,29.80266,-82.41081,48.768,2,10,15.65,30.94,21.14,1.68,22.49,315.2
9/26/2000,29.80266,-82.41081,48.768,2,10,15.73,27.69,19.61,,20.75,306
9/27/2000,29.80266,-82.41081,48.768,2,10,8.36,23.32,17.56,,16.95,406.7
9/28/2000,29.80266,-82.41081,48.768,2,10,11.52,26.52,17.17,,16.88,364.7
9/29/2000,29.80266,-82.41081,48.768,2,10,10.45,25.26,15.39,1.6,17.71,447.9
9/30/2000,29.80266,-82.41081,48.768,2,10,12.05,25.76,19.28,,19.55,506.4
10/1/2000,29.80266,-82.41081,48.768,2,10,18.64,26.6,14.29,,17.39,386.7
10/2/2000,29.80266,-82.41081,48.768,2,10,20.62,27.64,12.46,,15.14,280.6
10/3/2000,29.80266,-82.41081,48.768,2,10,16.9,28.81,12.13,,17.22,364.6
10/4/2000,29.80266,-82.41081,48.768,2,10,14.45,30.05,19.5,,21.17,295.9
10/5/2000,29.80266,-82.41081,48.768,2,10,19.25,32.1,16.94,,20.28,152.3
10/6/2000,29.80266,-82.41081,48.768,2,10,14.86,31.21,20.32,17.2,21.63,226.8
10/7/2000,29.80266,-82.41081,48.768,2,10,12.59,25.28,18.11,,19.51,261.9
10/8/2000,29.80266,-82.41081,48.768,2,10,15.02,23.57,13.02,,14.94,374.9
10/9/2000,29.80266,-82.41081,48.768,2,10,19.96,16.51,3.38,,0.9,525.3
10/10/2000,29.80266,-82.41081,48.768,2,10,10.37,17.49,3.76,,6.29,323.7
10/11/2000,29.80266,-82.41081,48.768,2,10,19.57,23.39,6.48,,8.86,317.7
10/12/2000,29.80266,-82.41081,48.768,2,10,19.07,25.27,9.29,,11.24,338.1
10/13/2000,29.80266,-82.41081,48.768,2,10,19.31,25.98,9.1,,10.15,313.4
10/14/2000,29.80266,-82.41081,48.768,2,10,17.71,26.6,8.15,,11.69,233.3
